Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.61,0.61,0.2762987478397092
100% Corpus,5,0.61,0.9099999999999999,0.3050071959117301
100% Corpus,5,0.61,symmetric,0.24041320520757165
100% Corpus,5,0.9099999999999999,0.01,0.24201300445385893
100% Corpus,5,0.9099999999999999,0.31,0.2266197565411892
100% Corpus,5,0.9099999999999999,0.61,0.24578089114544338
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2672160865231551
100% Corpus,5,0.9099999999999999,symmetric,0.24146830227754287
100% Corpus,5,symmetric,0.01,0.23881247736056133
100% Corpus,5,symmetric,0.31,0.31961489449378855
100% Corpus,5,symmetric,0.61,0.3274928851145479
100% Corpus,5,symmetric,0.9099999999999999,0.3751459459056351
100% Corpus,5,symmetric,symmetric,0.31282242278062516
100% Corpus,5,asymmetric,0.01,0.3624872936352236
100% Corpus,5,asymmetric,0.31,0.40946240364828873
100% Corpus,5,asymmetric,0.61,0.40251800978277846
100% Corpus,5,asymmetric,0.9099999999999999,0.3939635323105019
100% Corpus,5,asymmetric,symmetric,0.41316260565442875
100% Corpus,6,0.01,0.01,0.2604394018339548
100% Corpus,6,0.01,0.31,0.2880872650964197
100% Corpus,6,0.01,0.61,0.44067416785285524
100% Corpus,6,0.01,0.9099999999999999,0.3399641803517548
100% Corpus,6,0.01,symmetric,0.26125883656074017
100% Corpus,6,0.31,0.01,0.26692575415858627
100% Corpus,6,0.31,0.31,0.2994053900806603
100% Corpus,6,0.31,0.61,0.3290792199393799
100% Corpus,6,0.31,0.9099999999999999,0.3521540199755155
100% Corpus,6,0.31,symmetric,0.27592679075491816
100% Corpus,6,0.61,0.01,0.24493716877413432
100% Corpus,6,0.61,0.31,0.27440263147199234
100% Corpus,6,0.61,0.61,0.3002569269075137
100% Corpus,6,0.61,0.9099999999999999,0.31870996831420917
100% Corpus,6,0.61,symmetric,0.268967361375306
100% Corpus,6,0.9099999999999999,0.01,0.2414733513594748
100% Corpus,6,0.9099999999999999,0.31,0.2705476544091167
100% Corpus,6,0.9099999999999999,0.61,0.26910175517886753
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.2798479399504953
100% Corpus,6,0.9099999999999999,symmetric,0.2662399884641727
100% Corpus,6,symmetric,0.01,0.25186284541775933
100% Corpus,6,symmetric,0.31,0.29775038524788205
100% Corpus,6,symmetric,0.61,0.33531577249515204
100% Corpus,6,symmetric,0.9099999999999999,0.3576084560625264
100% Corpus,6,symmetric,symmetric,0.25019840894475937
100% Corpus,6,asymmetric,0.01,0.39686126790383947
100% Corpus,6,asymmetric,0.31,0.49398485592493574
100% Corpus,6,asymmetric,0.61,0.5011392617597162
100% Corpus,6,asymmetric,0.9099999999999999,0.46855032335986907
100% Corpus,6,asymmetric,symmetric,0.4505805790883122
100% Corpus,7,0.01,0.01,0.2867329865583094
100% Corpus,7,0.01,0.31,0.2743526301859027
100% Corpus,7,0.01,0.61,0.3877561058496211
100% Corpus,7,0.01,0.9099999999999999,0.41887518794405715
100% Corpus,7,0.01,symmetric,0.30012595757157595
100% Corpus,7,0.31,0.01,0.2618288460684474
100% Corpus,7,0.31,0.31,0.32103865696100947
100% Corpus,7,0.31,0.61,0.362356773803087
100% Corpus,7,0.31,0.9099999999999999,0.402751010589903
100% Corpus,7,0.31,symmetric,0.32036216069693574
100% Corpus,7,0.61,0.01,0.268635096129117
100% Corpus,7,0.61,0.31,0.3070593280906136
100% Corpus,7,0.61,0.61,0.3172628000774293
100% Corpus,7,0.61,0.9099999999999999,0.3179687668020633
100% Corpus,7,0.61,symmetric,0.3022598622071079
100% Corpus,7,0.9099999999999999,0.01,0.2748409209467934
100% Corpus,7,0.9099999999999999,0.31,0.3039174638678534
100% Corpus,7,0.9099999999999999,0.61,0.3026187064743177
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3229380544483847
100% Corpus,7,0.9099999999999999,symmetric,0.28822788040817443
100% Corpus,7,symmetric,0.01,0.29507545971850624
100% Corpus,7,symmetric,0.31,0.28321118521220684
100% Corpus,7,symmetric,0.61,0.37404585707832355
100% Corpus,7,symmetric,0.9099999999999999,0.3891280077719057
100% Corpus,7,symmetric,symmetric,0.31738800603426537
100% Corpus,7,asymmetric,0.01,0.37682237408971
100% Corpus,7,asymmetric,0.31,0.47762383346916476
100% Corpus,7,asymmetric,0.61,0.49275723573268815
100% Corpus,7,asymmetric,0.9099999999999999,0.4393685202446056
100% Corpus,7,asymmetric,symmetric,0.43010883635448943
100% Corpus,8,0.01,0.01,0.335112426074784
100% Corpus,8,0.01,0.31,0.36950433271759653
100% Corpus,8,0.01,0.61,0.45478918962201426
100% Corpus,8,0.01,0.9099999999999999,0.3897545116723544
100% Corpus,8,0.01,symmetric,0.3485320761570792
100% Corpus,8,0.31,0.01,0.30895318623775425
100% Corpus,8,0.31,0.31,0.37117651208354474
100% Corpus,8,0.31,0.61,0.41969813843154624
100% Corpus,8,0.31,0.9099999999999999,0.4318350653866866
100% Corpus,8,0.31,symmetric,0.3316323198500806
100% Corpus,8,0.61,0.01,0.29248970901238613
100% Corpus,8,0.61,0.31,0.34283917356426286
100% Corpus,8,0.61,0.61,0.31269077326182715
100% Corpus,8,0.61,0.9099999999999999,0.34093224678251954
100% Corpus,8,0.61,symmetric,0.31571372018915067
100% Corpus,8,0.9099999999999999,0.01,0.2855450119672554
100% Corpus,8,0.9099999999999999,0.31,0.3017670711778568
100% Corpus,8,0.9099999999999999,0.61,0.30098430161394274
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3313386278245376
100% Corpus,8,0.9099999999999999,symmetric,0.2979685649921643
100% Corpus,8,symmetric,0.01,0.31789012746130363
100% Corpus,8,symmetric,0.31,0.389715938600659
100% Corpus,8,symmetric,0.61,0.45778965643263014
100% Corpus,8,symmetric,0.9099999999999999,0.4297815918634894
100% Corpus,8,symmetric,symmetric,0.3392739948471755
100% Corpus,8,asymmetric,0.01,0.34357329101839024
100% Corpus,8,asymmetric,0.31,0.49933924896712567
100% Corpus,8,asymmetric,0.61,0.5015648688555399
100% Corpus,8,asymmetric,0.9099999999999999,0.4953359666906696
100% Corpus,8,asymmetric,symmetric,0.43642943265803685
100% Corpus,9,0.01,0.01,0.2990121012469477
100% Corpus,9,0.01,0.31,0.40716016032379787
100% Corpus,9,0.01,0.61,0.43744231712407
100% Corpus,9,0.01,0.9099999999999999,0.3378278886968212
100% Corpus,9,0.01,symmetric,0.35264073184653716
100% Corpus,9,0.31,0.01,0.31706697272452306
100% Corpus,9,0.31,0.31,0.34114011159922464
100% Corpus,9,0.31,0.61,0.4009639427491401
100% Corpus,9,0.31,0.9099999999999999,0.4255666828801106
